	ANKRD55	CCR4	CD2	CD27	CD28	CD3D	CD3G	CD4	CD40LG	CD5	CD6	FLT3LG	ICOS	IKZF1	IL2RA	IRF4	ITK	LCK	LTA	TESPA1	TNFRSF4	TRAC	TRAT1	TRBC2	UBASH3A	CCR4	CCR8	CD2	CD27	CD4	CTLA4	ENTPD1	FOXP3	HAVCR2	IKZF2	IKZF4	IL2RA	IL2RB	ITK	ITGAE	LAG3	SIRPG	TIGIT	TNFRSF9	TNFRSF18	TRAC	CD2	CD3D	CD3G	CD6	CD7	CD8A	CD8B	CD96	CRTAM	EOMES	FCRL6	FLT3LG	GZMA	GZMB	GZMH	GZMK	ITK	KLRC2	KLRC4	KLRK1	PRF1	PRKCQ	PTGDR	PVRIG	SH2D1A	TBX21	TCF7	THEMIS	TRAC	TRAT1	TRBC2	UBASH3A	XCL2	ZAP70	ZBED2	CD160	CD244	CD247	CD7	CLDND2	CTSW	GZMM	IL2RB	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DS2	KIR3DL1	KIR3DL2	KLRB1	KLRC2	KLRC3	KLRD1	KLRF1	KLRK1	NCAM1	NCR1	NCR3	NKG7	NMUR1	PRF1	PTGDR	PYHIN1	S1PR5	SAMD3	TMIGD2	XCL2	BANK1	BLK	CD19	CD22	CD72	CD79A	CD79B	CR2	FAM129C	FCRL2	FCRL5	FCRLA	MS4A1	STAP1	TNFRSF13B	TNFRSF13C	TNFRSF17	VPREB3	ADAP2	ADORA3	C1QA	C1QC	C3AR1	C5AR1	CCL7	CCR1	CD163	CD33	CD4	CD68	CLEC5A	CMKLR1	CSF1R	CYBB	FPR3	IL10	IL4I1	LIPA	MRC1	MS4A4A	MSR1	PLA2G7	RAB7B	SIGLEC1	TREM2	VSIG4	ADGRG3	C5AR1	CCR3	CEACAM8	CLEC7A	CSF3R	CXCR1	CXCR2	FCGR2A	FCGR3A	FCGR3B	FFAR2	FPR1	FPR2	MEFV	MNDA	PADI4	PGLYRP1	RASGRP4	SIGLEC5	ACTA2	CD248	COL16A1	COL1A1	COL1A2	COL4A1	COL5A1	COL6A1	COL6A2	COL6A3	FAP	FBLN2	FBN1	FGF2	LOXL1	MFAP5	PCOLCE	PDGFRA	PDGFRB	THY1	VEGFC	ANGPT2	CDH5	CLEC14A	ECSCR	EMCN	ENG	ESAM	ESM1	FLT1	HHIP	KDR	MMRN1	MMRN2	NOS3	PTPRB	ROBO4	SELE	TEK	TIE1	VWF
CD4_T_cells	2.873661404251458	7.180371632369289	9.161471440620854	6.946007433597628	7.419320379636983	8.95479201734607	6.215041494155532	7.5765680301793585	7.59473791850921	8.160391905019894	8.120280383004872	6.701716573271711	7.718787012595909	7.798581834794461	9.43067486994935	8.335886248257095	7.5289731680007055	8.154936378392184	9.754018156978477	7.3600762779124524	8.312923202171879	10.336645755563362	6.578109726305331	10.610828882888411	5.123239220599602	7.180371632369289	2.303588723994513	9.161471440620854	6.946007433597628	7.5765680301793585	7.837508040140482	2.99239646246186	5.940446957151465	4.587728648361604	3.5875538719351843	3.705148069293855	9.43067486994935	7.685131493608058	7.5289731680007055	2.2852629754983216	6.0197037506272855	5.647705958855011	4.7787700614459805	5.6057328494680485	7.811159175084575	10.336645755563362	9.161471440620854	8.95479201734607	6.215041494155532	8.120280383004872	8.64478427254537	2.1544392453400905	3.6485273967753935	6.5025604258463225	1.4614287051098822	1.7337060229295633	1.3716443281822812	6.701716573271711	5.2687468445319645	9.527968335565387	5.216281203173615	3.449650113856697	7.5289731680007055	0.4362489897635064	0.4822571976772746	1.9167122802746184	4.88682885967129	5.544476197901809	0.8092884730361635	4.576499420603471	5.7162328810587075	5.3103018701535145	7.932800903417334	5.217898135579826	10.336645755563362	6.578109726305331	10.610828882888411	5.123239220599602	3.838747849545984	6.975558634885273	8.584711585236509	1.9406316264583223	1.3700325305385566	7.543735196392176	8.64478427254537	2.235068081804365	4.4692411039126565	5.825439211702155	7.685131493608058	0.2329861127023088	0.5613427598776028	1.0154671064287308	1.1911918525916232	0.475466363318305	0.6173505600098832	2.5093536350429404	4.89143317019675	0.4362489897635064	0.2885776215114037	2.12285377254125	0.7692220871431967	1.9167122802746184	0.36339530286648253	0.41910502864244215	4.953607401701809	6.173158244847496	0.5490626951888	4.88682885967129	0.8092884730361635	4.3284231270941005	1.4017648952334818	3.6618400778824296	4.911911771609203	3.838747849545984	0.318394828031156	1.1132830091288368	0.4288007929914637	1.2987359193616803	2.4856409151736556	3.1156804828371256	4.6994939408494725	1.0585434839573555	0.22177775610127992	0.1834554305476052	0.062365304027139724	0.3614602085168056	1.2548675526347746	4.173521936696528	0.22421866791423084	2.0797047603618237	0.5934756649827302	0.42070337835167104	0.6383074101504894	0.14419012747099166	0.17146554001022335	0.09770872322658378	2.1658874780419697	1.4999373760725676	1.1692480972110428	2.2063451435173653	0.5177225979927316	1.2306231926755056	7.5765680301793585	4.764117578190391	0.26553879709260025	0.5794879329841198	1.2224275174963335	1.9731459609081416	0.39463517596614855	3.828292855791341	5.594951444229633	5.384248378344824	0.4717283535615353	0.11552759724149612	1.0679559074928615	0.6845985416499913	0.1318866636572605	0.14101225117954155	0.14846784104425192	0.18078328056234189	0.2268353974247081	1.4999373760725676	0.6889895463577602	0.4726758166229613	1.4989953305908374	1.269886386193944	0.2378457964947637	0.7821290445380957	1.3602686344189985	1.8399674579556675	0.40665421142313146	0.4598814600340868	1.3516206732956957	0.7094213162691183	0.7213077883386485	1.8954679374886805	1.1895501570582108	0.7375352475767533	3.768820199538983	0.1824759991650532	3.1251651097220203	1.0324897355661176	0.14648606980631504	1.4644694884867036	1.1181745945290578	0.028942582659897725	0.33985653810186683	2.307762860059112	3.817166236468304	4.815762002446714	0.04476328808271126	0.1995922421154692	0.37374868178967263	0.6693520965012085	0.36433515021191504	0.9886629315676896	0.36677981275832	0.7073079856420641	0.22133843930420968	0.31172194382179824	0.04621055787583351	0.8668441786315155	0.09412651155019022	0.006730856813793052	2.8296781529363613	0.13032281457399028	3.657881775100677	1.045613546772756	0.2658695404487432	3.9797312547043435	0.09234854884921047	0.01796000421596973	0.3316306791795852	0.5923027652533869	2.3076738284296803	0.07291599681698535	0.014390670037620512	0.0957604409027975	0.016776522128713608	0.19590921857745147	0.0566680680268527
CD8_T_cells	0.4345643510011766	4.459739151979305	9.2146303380942	7.377476592742918	6.158780099771402	10.181785762606598	7.313455332755455	2.951304498560083	3.9857585791732686	7.313083617630078	7.583427338400604	7.025471337413576	5.739555296199592	9.017559101494935	7.490279892950909	5.265693952182292	6.746238946898358	8.786056718107567	5.870308087449187	6.871967637115735	4.7341294411920165	10.49829949143721	6.877570527755133	11.267351102526904	5.65688009273092	4.459739151979305	2.5086878324294313	9.2146303380942	7.377476592742918	2.951304498560083	5.487301029610713	4.420420606839196	3.811801047836629	5.689072321687156	4.6995205945220215	2.6174251991870285	7.490279892950909	7.818636142458567	6.746238946898358	5.361743686562933	6.751785458200144	6.340860000597641	6.9860474868292215	6.040589680180736	6.152448748758428	10.49829949143721	9.2146303380942	10.181785762606598	7.313455332755455	7.583427338400604	8.362540677465487	9.922338158244662	9.239093055227821	7.983944900103749	6.258786336556345	6.120783695684974	6.2939584144485865	7.025471337413576	9.729451735973644	10.204337723115472	9.18647121565992	7.984996591211465	6.746238946898358	5.1991857638569785	5.716687031190079	8.824223930004782	8.794818573871517	5.999854201252145	4.602225682395106	6.187393474906754	7.226652539710911	6.053210529261512	7.767551359256143	6.897178090889988	10.49829949143721	6.877570527755133	11.267351102526904	5.65688009273092	8.184544297641617	7.527750214537723	5.116218309719686	6.458807611641662	5.2340916115216265	7.8653096177616595	8.362540677465487	4.417911856847306	9.043697114547488	7.557181291720289	7.818636142458567	2.3368025734052384	2.3965304793045683	3.118973687528759	3.969210355364042	2.4831761114269177	2.832526617813936	4.107130782768067	7.2277530720015575	5.1991857638569785	4.391922318343486	6.927608222346226	5.152916863930482	8.824223930004782	2.891551514111299	3.4786864899205527	6.2938410704672805	10.819384174208356	3.0135979503672155	8.794818573871517	4.602225682395106	6.918780115775782	5.730141238227666	6.719112071092009	5.270866329209799	8.184544297641617	0.84279269347049	2.8746546102204187	7.020765457686799	1.4300808546980537	2.605943201857704	4.17901312525723	4.5883080395157965	1.1714790834580775	0.43288490259702506	0.38951878184350697	0.20109905320778446	0.8523313015869554	3.736805107708828	3.117960558587811	0.4610573661480209	2.6588452483155964	0.6934284913895703	0.8757010411852869	1.2336848055890364	0.5576606072772041	4.053918774079547	3.6988189359897072	3.648122145533743	2.195763464785084	0.29464758938961977	3.7671139161129044	1.4656737968169808	1.2075631017426949	2.951304498560083	5.4484440459050205	0.531811975120506	3.0569907814727517	1.1666641818792025	2.1105953557179187	0.747405402379677	1.6461086918032009	3.5419874058201843	5.955808957702555	1.3775473057481802	1.423438962809734	2.515855813942584	0.9141778934637992	0.3085621718911554	0.2509829503524105	1.401279448377616	2.938851792578493	0.6602466613498953	2.195763464785084	1.8284453151495057	0.9720182251124664	2.1534932590282687	1.850130819044672	1.8031523535387504	2.666298860180565	2.9957435162599126	6.494547733211147	2.5440551273654477	0.941798744785388	2.4286598482789192	1.492197467378498	0.9206813729800896	2.5517876136822673	1.8971555133498568	1.02500307393736	0.8598583408685025	0.3284981870024822	4.317633351217607	4.157205902347152	2.3805258215557115	4.082007130477704	3.5254372756674206	0.9621617489045616	3.0371872003231637	2.6864771845881243	5.593024812814042	1.8419164792315963	0.04643051412983403	2.8483571777632637	0.8364320384797476	0.3405482635085239	1.8761915941754093	1.2669169673289122	0.326243845905742	1.2495525863736132	2.386862734663399	0.3806849609878469	0.021176562389863374	1.7213817844922692	0.2851780686342057	0.03305012952442438	0.5283000102641185	0.19532144286093667	3.631639295911894	0.8630238967449634	1.2495043897310665	1.698941203174014	0.15929209075637912	0.0896091673998768	0.3323670790272657	1.9972219472372637	1.5702385854931356	0.34605820206014803	0.02062590111343016	0.14866456180075552	0.1050925219075088	0.6784377307828461	0.11792245141859672
NK_cells	0.1628707762537919	1.3291178700673478	8.368800973521541	4.604332700200237	1.3911263597271826	5.353047487603071	3.1638846408901835	2.5659921470612033	1.7432524085458243	1.6356439727536694	5.63187913170741	5.7402262930001475	2.4391868349652195	8.235960593715019	6.613664900579642	4.2782628688941315	6.5201844278798875	8.59355668475243	7.526961021971082	6.198638465297674	5.483268977211542	6.61750124618268	2.6796599424325134	9.909059025078212	3.574868900990986	1.3291178700673478	2.4510177831276576	8.368800973521541	4.604332700200237	2.5659921470612033	2.5004287837755608	4.254540042654177	0.6502708142366129	7.4945136929644764	5.0944682031575415	2.416588651242578	6.613664900579642	10.007450374951276	6.5201844278798875	3.9168168813663815	6.082288832476268	3.6728484201578335	7.288478960930385	5.730385154044847	8.0554214178391	6.61750124618268	8.368800973521541	5.353047487603071	3.1638846408901835	5.63187913170741	9.113663818877717	6.753904882617593	3.086269447125871	7.906897039965049	6.348848828107762	7.28858236490814	7.772283206294406	5.7402262930001475	10.833674885672991	11.912343538086386	9.725924984430618	6.617932147024318	6.5201844278798875	7.643033744469148	6.947911364357487	9.49741713346258	10.9100956622568	6.077780791141919	6.9362539375808385	7.346961434658906	7.836341566939549	7.721622024920797	6.229174212176655	1.4751775398212916	6.61750124618268	2.6796599424325134	9.909059025078212	3.574868900990986	9.67807489188885	8.347607035783927	3.4990106757087784	8.174416762118772	7.3887418833535525	9.816051407737447	9.113663818877717	6.594155379077297	10.842412586367118	8.331731703814025	10.007450374951276	6.735001826952437	4.866259273574323	6.532932717138329	6.960955551435799	5.846740502458467	6.295408526944778	6.62571980266218	9.129622450572413	7.643033744469148	7.0562212291490045	9.068985699584033	9.19752667482148	9.49741713346258	6.634280070152331	7.003259809688507	7.742203825992718	12.453329624660602	5.809176234045857	10.9100956622568	6.9362539375808385	8.137392861531362	8.18095542134715	7.751351245987271	6.931561192056495	9.67807489188885	2.6704497985393383	2.0348128471090408	1.832777873651867	2.4914220621519974	3.8145180831555514	4.6082405544755165	5.968511652165929	0.495995253912488	1.8845633239053496	1.1576279681326411	0.6529713288474287	1.6613192763612872	4.7949667152430635	5.029812995331252	1.5301680473131287	2.2869904520937983	0.7211235918406939	1.869521711747204	1.9591511961099275	0.3973293026228973	4.928239916039719	3.2112761098231535	4.670697190047794	2.9756323970563114	1.885151201659432	5.391042212372232	2.3882211684126715	2.216647466607684	2.5659921470612033	6.670172800805245	0.8711927525958034	5.203094263199429	3.29493963314279	3.8121959598729527	2.1354295849457894	1.2882983101856782	3.52396754030398	6.17471024451948	1.6516389613584943	2.3314852399163373	2.2544597560926234	2.1987427374624384	0.5906649982995651	0.8723359816311566	2.7687846942331933	3.5137328058907547	5.594438756796774	2.9756323970563114	1.3436523666043154	2.458252324115548	2.8092089260898314	2.3966304952175435	3.934854927890554	5.217929672680941	4.069250683464314	9.586191537392812	3.754241871047765	1.0617711009266086	2.9053232636690747	1.7601742274252836	1.2874565731899452	3.653355047991283	2.4519074887410315	3.7736979058909017	1.12644328609684	1.6326157418133849	4.525820977841813	0.3389073165909282	0.6056340950836698	3.8632247435530007	3.8251756852956116	0.3378588310351137	0.8262955972056079	2.0309535607883373	5.627406249364227	1.1252498314444204	0.10868738440665887	1.2514433815505317	0.8858380287504275	0.6862044451871527	0.495656446269201	1.7622569079291357	0.8378254300705531	0.6537317798171989	3.872679138710192	0.455726682957917	0.13365238839428836	1.0956721702212464	0.2905713014270473	0.0341138663158858	0.4900513492368868	0.20478704542624895	4.555582064716414	0.7048207181981411	1.1471893423929709	1.17076725759649	0.11837199486295565	0.061883494260707175	1.3211112914269705	0.3208266766890272	0.7571828582132321	1.8859699763334	0.01859283171685721	0.4487330311418903	0.06657728572301527	2.9207181640458213	0.1812427558112624
B_cells	0.16826948668023298	1.0130794246527337	1.2377383240633535	5.689555836647469	0.6969570396928828	2.0221921441157837	1.5379126996262988	1.8892453857967972	0.5748980928151839	3.3353023552734524	3.19596474111677	4.941711040052291	0.17735014532719492	7.791722535350969	3.8038682654590317	6.100329244039693	0.27646728117337	4.2451030430503165	3.7222058591660288	4.340041146304388	1.3667432574300458	4.680175945822397	0.7366227656482136	8.543013189699442	0.2252467074017612	1.0130794246527337	0.1132920321804427	1.2377383240633535	5.689555836647469	1.8892453857967972	0.4188095701808621	5.057857864010306	0.8241511141207485	1.570795161104416	4.322308317469302	1.2805674313543116	3.8038682654590317	2.430714175301388	0.27646728117337	0.22734150171022896	0.2520974515211683	0.2536282668791113	1.5434926490063745	1.4450125182058784	5.643532554574296	4.680175945822397	1.2377383240633535	2.0221921441157837	1.5379126996262988	3.19596474111677	1.7630390328442251	1.1552128237526482	0.7844487779165036	3.7814331468009246	0.4869147194745698	0.3851740488678062	0.8298222472453508	4.941711040052291	1.8150800532888187	2.559114611032516	2.340582303265857	0.4614461496484372	0.27646728117337	0.34896117594072834	0.2666792276765841	3.2568678215758453	2.3199576933307267	0.5872145893282015	0.35643230293610706	3.942059407936572	0.5812436052694014	2.9497821712228127	4.0378884329117835	0.3321595822158909	4.680175945822397	0.7366227656482136	8.543013189699442	0.2252467074017612	0.5729857316865876	2.293652730558128	2.1456148801369332	2.3298227613463	3.1383990626401523	2.0545992199808643	1.7630390328442251	2.1449441851648428	3.09816852170292	1.6334583720760802	2.430714175301388	0.3423763264263838	0.8648462908173117	1.7748528954404197	1.8183527662951184	0.7510011331454749	0.9291388877135291	2.9031165340198863	2.0130243158568963	0.34896117594072834	0.3140166579689457	2.447975018242428	1.9441343742601604	3.2568678215758453	0.8893337797855279	0.6055222830892824	5.2540361898007175	4.403420737081621	1.1378905922279858	2.3199576933307267	0.35643230293610706	3.2099915890261617	1.1445300994251244	1.945792774388308	1.1207979246291448	0.5729857316865876	8.21198660661662	7.958948588204259	7.259758036664772	8.888445761828812	6.869862962846402	10.816378694361555	9.793694270411008	5.075473029910736	8.143490434867681	6.7610397210438125	5.783504610665343	7.503918699130869	11.095482870435578	6.986692542251959	6.3764645203008845	8.046715675700337	5.027247285100956	7.2085774438400865	3.240231402627775	0.29000434917995205	1.0477134566963078	0.16452270896621835	1.3566063891166198	2.6233721724572363	0.7115943789398728	1.2095466844667986	0.8406989698257386	1.4102912767616869	1.8892453857967972	4.779338917092138	0.14910919842492207	0.388716910522173	1.8610479636816692	6.897018109808172	0.3846078911524775	1.2668185472665627	3.8894049943796922	5.42309032725801	0.09366788858470793	0.42363513547454174	1.8411150393890712	0.7968394213656984	0.0991831265456428	0.12916786293252422	0.2312645608022748	0.7628080101329062	0.50112950887219	2.6233721724572363	2.4641736130403418	0.8340047642358019	3.0102472239818763	2.7684281790010763	0.3473094632613469	1.0658283277015523	3.7857347718222187	4.033583081689288	1.029699660156589	0.9175485365117504	2.484536240180573	1.1634368337244356	1.2014992274121596	3.847998087565304	1.5670068813201474	0.6822046316077446	0.9085757966062002	3.0789168824684263	1.4886190334812597	0.3359970526613363	0.1299448653966545	2.3890881465469334	0.5500307622612617	0.05764637042016065	0.1255827746221051	0.3488010802354327	1.0110782562458802	0.18050935961057493	0.06739458292752798	2.670412071042686	0.4678444391509258	0.4954445614274204	0.09638851152085308	1.7651336947581202	0.1615916344082491	0.953744757931296	0.7138928832946787	0.06485897541669948	0.009832709022839196	1.8773424882153795	0.22293959119851534	0.023014848134940057	0.0015471248584517509	0.26148213253682895	2.8933807911088656	2.693448358420333	0.11658767736175975	1.8620402197819037	0.2462691760420437	0.006138529819804832	0.8847409942129936	0.8891272583440926	0.9749711352727554	0.5811329261966294	0.02123298970371988	0.10223203917561027	0.07522199039152032	0.07630232655424875	0.1297268573796769
Macrophages	0.13910752360282275	1.4886405943235057	3.2549983001741003	1.1004863598291084	3.497650523755868	2.9993482006799344	1.336612405426858	8.285856062044054	0.8862380561877483	1.683162817942259	1.8917960732284216	2.7898860548482336	1.3620279215566238	6.7557481200326395	5.396890366852523	2.9703698920042334	1.0659320436190165	2.2620320068974684	1.3348940872539408	2.0490275066949915	4.140267059489175	4.012332920679406	0.7915096452445968	4.586972293704449	0.5975442233509898	1.4886405943235057	0.2364118043003739	3.2549983001741003	1.1004863598291084	8.285856062044054	1.4566657873262483	4.8930701281308515	0.741970336427628	7.641324195742004	1.1182053211923038	1.6034247906527257	5.396890366852523	2.3698949015553263	1.0659320436190165	3.781182070696613	3.165684500827308	0.826263611411853	1.1138791637734151	4.057387423931659	3.934837858933517	4.012332920679406	3.2549983001741003	2.9993482006799344	1.336612405426858	1.8917960732284216	2.3013818525174354	1.9871287282621195	1.2250107703878508	1.8155075940121692	3.013676737042952	0.9736605361194824	1.9950308549654687	2.7898860548482336	2.568253036503488	2.7313456626364347	1.6815110749907545	0.993480623498473	1.0659320436190165	0.470510518855793	0.5251779126932636	1.8746015224129893	1.75327830086091	0.8095926838583549	0.4299237874580968	0.6494012861566844	0.973306073216314	2.122229192727193	2.145126386141423	0.7040897849494864	4.012332920679406	0.7915096452445968	4.586972293704449	0.5975442233509898	1.0310569535544276	1.5172717923919683	1.237902005817168	1.1086492911895112	2.093725663451841	2.227908907428682	2.3013818525174354	1.3259998131879702	2.4936128858420523	1.1161284556944584	2.3698949015553263	0.3407422596209817	0.6109970534516574	0.8598751472114857	1.7352089743712171	0.3935447570171692	0.6218330609108789	1.470795512708195	1.4392693802283552	0.470510518855793	0.2846873452602947	1.5904102726229752	0.988942500618091	1.8746015224129893	1.74123468212202	0.5382762374470579	0.6837552499101619	5.17762975482532	0.3825048927561497	1.75327830086091	0.4299237874580968	1.5948245909767957	0.4769946453188911	0.8095541671779007	0.868811542802125	1.0310569535544276	1.1241378128685877	0.5597298881727817	0.7514423654561079	3.966833826752346	3.608202343314922	2.7321887852704783	1.7563307353470896	0.2182619508123628	0.2778225873292438	0.3425756709352803	0.4710501475756967	1.9833955508289456	2.9286504304040184	2.5140886031257805	0.2986371263774716	0.7482835745525549	0.27972717411893844	0.5198567934040255	7.533003111006237	5.937920961909512	10.742362647881727	10.227129819545448	7.981100532222654	8.567991200912353	8.292637576935443	8.033036320548387	10.058082519537708	5.8824712790590405	8.285856062044054	12.078150169594052	7.6397848702828846	7.0530717496036806	8.263031458184429	9.289647295513824	8.785286020091549	4.758664986947449	7.890292983149608	10.6410326030432	7.789713960001144	7.065583689792661	8.8708178418645	8.729316039039578	7.1713859978605345	6.80752531550612	8.3673579296708	9.378175853335968	0.4239711274755613	8.567991200912353	0.8812406963800723	0.5345841278022407	7.485647319866106	5.813806380059698	0.5515349797424877	2.7242986484512786	8.977976188164591	8.983158751733432	2.9295769476262907	4.103913137572669	6.347385557829506	4.510463299226103	3.0528691337540335	7.172594304004479	0.8673814868470002	0.2976235092159585	3.314109447054564	3.3484705269245265	3.350112114657737	0.4340915881427427	0.08040587883968989	1.4079682147874122	1.4497017919833803	0.3568244617636372	0.5507864989180191	4.598204176601096	4.494029330021029	0.7956184169188838	0.5581578323446249	0.3118630729850653	0.4109673156695087	0.2874591750334792	0.08558669139806574	1.782143563184449	0.08329341488427301	1.2376909301901058	0.40470977626251015	0.585933423244819	0.2536234273840591	0.7190629573658424	0.36803795186038096	0.021206504314487257	0.7374451691937234	0.1256577214503576	8.550329393676684	0.33015740179848474	0.10976808234460264	3.675457245704373	0.07537464148455363	0.19270479959633413	0.05490835761552177	1.041041830849562	0.3155288321906277	0.10492608281145616	0.025988361478054174	0.2216774962842734	0.04408963898356828	2.2239821609540216	1.2292100313777556
Neutrophils	1.7552659052451975	1.8075530603967904	2.8646597695764577	1.6881599192980172	1.6244059274086062	3.6312096145457673	1.8400179774760177	4.508698326948249	0.9640178335083376	2.3610505559933426	1.99838806225298	3.3996241319383884	0.60060229060132	8.659105244481474	1.5755343728710622	1.1897142968101342	1.2139745224588576	3.2241377655574235	1.220114349938395	2.6342402608326183	1.1142357535394227	4.4060627951314295	1.3348592348287096	5.233156941558773	0.8240678043671792	1.8075530603967904	0.14843986865536982	2.8646597695764577	1.6881599192980172	4.508698326948249	0.7045659165364659	6.196900406277406	0.4741144220730499	2.260692066223504	1.4607387475425735	1.0058715290061622	1.5755343728710622	3.716471433292168	1.2139745224588576	1.0944540893145478	0.4703678549861293	1.4840589750120752	1.7032741803019626	3.6778187112446936	1.6812804450243968	4.4060627951314295	2.8646597695764577	3.6312096145457673	1.8400179774760177	1.99838806225298	3.7710724765510015	3.1361295070653323	1.78315094703875	2.4158059919339143	0.7186772144228801	2.102923217643805	2.210395732931896	3.3996241319383884	3.9853627910108353	3.9646660350269207	3.787488924808868	1.5354966994828154	1.2139745224588576	0.6170153665667489	1.0813742718661177	3.497349453722824	4.449463862168782	1.5082148767340708	1.336387317873332	1.492726412972038	1.6980635625903375	2.230605116470917	3.5491867028039485	0.8655259917397292	4.4060627951314295	1.3348592348287096	5.233156941558773	0.8240678043671792	1.1006990624720618	3.2169965481468865	0.12705078883734314	2.878617389148276	3.1076817403956145	3.877574713205735	3.7710724765510015	2.1045815242266004	3.88251060095555	3.031200199917785	3.716471433292168	1.0755382007772187	0.8286095111748205	1.9939122537786005	1.841491290485349	0.647072809419109	1.392639777444001	2.2165698658096047	3.3391480701122482	0.6170153665667489	1.044062330479198	3.370855001571259	2.8890792975156536	3.497349453722824	1.0234172017979482	3.2013762056692308	1.9587710012010917	6.594903282466923	1.3194225313831724	4.449463862168782	1.336387317873332	2.8168230503357155	2.523697966159804	2.9104496829009068	1.9240175137383324	1.1006990624720618	1.548375010081413	1.0456356072338775	0.992268100894904	4.4806960229100445	1.1785523055131557	3.943451586430516	3.321818265331866	0.3402828573558865	1.1347421499822208	0.8164480633946318	0.505196077161236	1.1298153143075995	3.5492840519267714	1.4150471408566916	0.5763608487580821	1.3325051181955303	1.0569770839626718	0.9809299672306866	2.242700779924093	3.591539461932296	0.9804846426849251	0.4552683164391191	6.713097139167968	10.234461690070347	0.9660898159800376	7.232641030052775	3.233224512494607	3.596494863122625	4.508698326948249	7.189361801693197	3.1984669306874616	1.319607123135882	4.355852354740689	6.5866446252746975	1.0376459260447457	0.659800527554091	2.141214176029458	3.5780622593486537	0.4479083853733543	1.3758177279467112	1.7325655267876754	3.5220169814873694	0.5395849963687837	1.1595133148216692	0.5560321010935323	2.145395468154916	8.331261205704598	10.234461690070347	7.297769263965206	4.007744337055232	9.486678025675557	11.97086321410268	10.025684161464037	11.445037192644026	11.740673420679775	10.77690631774593	12.459489345003078	9.299549681011063	11.558971325304745	9.385053379633645	7.5242417370181505	11.71537721407238	7.513289236116803	7.877373507142322	7.261803554634861	7.669724539883883	2.7708732899633293	0.2529173004311102	0.0837174347836153	0.4049183463740704	0.23264307479489285	0.3029870085961895	0.07626489269049733	0.4426116300482624	1.2791427229113668	0.11841397276816645	0.2904782223638322	0.2912484289395825	0.6837215813336869	0.1807595318887946	0.7406506185454687	1.8563394626486984	0.036995787478523605	0.9184034661448536	0.3434680287757958	0.06476072408300512	0.024783651917051345	0.6773111403071658	0.11949266121660862	0.17249334976344405	0.039499542726267815	0.2947242223670892	1.9729979686448291	0.25741209904099	0.07526672665397915	2.627060604517337	0.18169153075580405	0.013228628237216428	0.17439271760904168	0.16938774624006928	0.3707696173618769	0.09444683985611746	0.01739382056439047	0.028624464327093094	1.286622103482685	0.07946233370409286	1.3867877345245718
