Gene	117-A2	117-A3	124-A1	124-A2	117-A1	120-A1	120-A2	120-A3
A1BG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1CF	0.0	5.944473981408111	107.85340377160816	29.449895559233152	19.054086187496445	11.464828850882233	24.175384531152602	13.76040734078901
A2M	116.47816410324423	491.8710124946003	839.0518067794629	939.9549466077333	541.9321152538258	320.9397776208507	321.2452718097974	361.45354161306017
A2ML1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3GALT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4GALT	20.174065920406033	27.864399276294176	52.85115076774394	75.32482439781229	44.74851308867043	31.08940260862856	26.95467860255352	21.742300555161446
A4GNT	0.0	1.7236074806847783	1.4152618901870466	1.6370536751110225	1.5782472609347422	1.3510666537961584	1.4944845546782606	0.0
AAAS	25.960331952473755	24.560910197915486	22.151464545892402	19.516075451256565	24.97108446039677	32.39755647993129	25.096535001707558	25.79786609626165
AACS	8.085446991636902	18.0793562400534	5.0257384328741095	12.188847938997073	22.53406543546821	21.214260508310595	23.66307656839805	26.140842130566543
AADAC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADAT	8.259226336909244	9.721874648230752	5.912557677873508	6.933071163802077	3.5082998703322286	10.367666002740453	9.794117232659822	8.611366386438936
AAED1	12.672933494957695	13.059535227187956	19.28069509604356	21.31348910240132	19.032270814766377	12.315034860541482	12.358169507262593	14.126117334087574
AAGAB	42.29664684817439	33.274567633038934	35.20791737291684	37.55348483743339	15.204689714048175	46.54600694312774	33.76587207034379	49.64144156467032
AAK1	62.169843823522264	61.99450796380279	56.96920057047725	60.06934907518968	75.83569948284008	69.76309326789418	88.41853575812489	66.85231234385901
AAMDC	38.14311765100678	37.73067380087821	52.45747606581221	63.63572943230624	40.97173428123475	37.86807303778684	33.34103650235686	44.40759053087236
AAMP	169.54968816444975	97.45190993768568	100.27095494208513	132.945796669627	157.29416696513823	97.1323209574863	79.73913219176556	92.66023537849415
AANAT	8.712932001146108	2.058244498177048	0.0	0.0	1.2026255417721246	1.5727966706459275	2.9836574231810804	0.0
AAR2	42.412461980656545	41.56445333354843	29.37343274538075	39.02409265289104	35.20628106509642	40.41535509971817	38.42066993997759	37.45582220354885
AARD	1.2637303897983918	0.0	0.0	2.755020843930185	1.259042713255612	0.0	0.0	0.0
AARS	117.71748235601736	100.34765253689413	115.22364254894651	77.51499458859388	123.91880268001951	154.40898865879694	226.6882959684997	174.88077315587353
AARS2	42.5199100209481	25.931982115478487	18.8694564084804	19.810832234451887	27.966183185116684	11.261429502919047	11.068195028684654	11.026361748246908
AARSD1	30.467869609051892	23.565248441513766	24.389003704911914	18.82262784864816	25.25847420503741	14.41196835819098	14.04815707138584	14.846876345035934
AASDH	9.437970093746957	15.302965926482804	13.894196611063993	9.555691317841914	8.126469028210956	10.538410095215633	11.577748943666116	12.913470165587563
AASDHPPT	34.34617018196483	58.840766774606436	118.24521518040936	41.22425859041318	48.92060616040066	50.20453824718188	42.76278037982925	56.8829946578695
AASS	16.188681721307294	5.437455453509461	12.757197510212645	12.403867670071286	5.0692551808742	18.944862849876387	15.817424881357567	17.859131204079727
AATF	111.46065091482781	47.36608719185837	43.7294260738656	37.736066399484464	56.82357449320608	34.60772357342305	48.9665137953176	36.17858679621328
AATK	4.706029329505443	4.239848364150573	1.7420435695356926	13.216358147929313	3.964312757242271	2.811327156592391	3.781934101374982	3.5361090090255582
ABAT	4.041617625289595	18.818871887888914	43.4787617501443	9.85554451690572	12.016295186132606	31.498128568685203	21.952232340053744	31.40192917688207
ABC7-42404400C24.1	3.738127424312308	6.9576785373095476	2.16584844626533	6.128873416177258	2.2850104691414943	1.3572323491730631	0.0	1.6949638770638686
ABCA1	56.85588878022355	136.6788822068622	109.57416388648323	93.51341465265196	160.43134170503401	79.36630196914341	101.50589390473765	103.2967884453712
ABCA10	1.0247216412076203	1.5125619865981963	1.3480739741182612	4.7434821210868225	1.4241746622885294	0.0	1.2889631588131285	2.9845933389596184
ABCA12	0.0	6.78542509226563	2.6194399954908496	7.29701135023426	5.385820139377827	52.78475250322123	28.23665056201036	45.878769182200145
