,TWDN-WUR-124-A1,TWDN-WUR-124-A2,TWDN-WUR-117-A1,TWDN-WUR-117-A2,TWDN-WUR-120-A1,TWDN-WUR-120-A2,TWDN-WUR-120-A3
PERM1,1.93832374094575,10.0032936188165,3.19496155314824,0.0370118210204566,0.610007558534163,4.00405982938019,1.78995180135944
RP11-54O7.17,0,0,0,0,0,0,0
HES4,4.73697299257865,14.5824044502197,4.50301640079011,0.203565015612511,5.42829510948755,18.1529349215398,15.5540639290544
ISG15,2.58097653206145,5.30626577029557,3.96175232590382,0.93454848076653,6.55565085057601,14.2835407814885,5.85481771479146
RP11-54O7.11,0,0.0196528361862799,0,0,0,0,0
AGRN,20.3679473313283,17.8644280933284,16.8994672270053,0.444141852245479,1.50571485967293,4.41703460998891,1.6488718564247
RP11-54O7.14,2.43586138568048,3.06584244505966,3.19496155314824,0.0277588657653425,0.355194274589513,0.799016423351652,0.308612379544731
RP11-54O7.18,0.134749778782325,0.0982641809313994,0.0300702263825717,0,0.162153907964778,0.790038710729723,0.255707400194205
RNF223,0.0518268379932018,1.47396271397099,0,0.0185059105102283,0.00772161466498941,0.026933137865786,0.00881749655842087
C1orf159,22.5757706298387,26.0400079468208,13.9976903810871,2.31323881377854,5.01904953224312,7.88243168205337,4.40874827921044
LINC01342,2.62243800245601,1.45430987778471,0.744238102968649,0.00925295525511416,0.177597137294756,0.421952493230648,0.211619917402101
MIR200B,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0
MIR429,0.114019043585044,0.0982641809313994,0,0,0,0.00897771262192867,0
RP11-465B22.8,0,0,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0.00897771262192867,0
TTLL10,0.186576616775527,0.628890757960956,0.0601404527651434,0.0555177315306849,0.38608073324947,0.466841056340291,0.264524896752626
TNFRSF18,0.476806909537457,1.35604569685331,0.300702263825717,0.185059105102283,0.942036989128708,3.95917126627054,1.26971950441261
TNFRSF4,1.0261713922654,6.1513377263056,0.571334301268862,0.203565015612511,0.285699742604608,0.691283871888508,0.555502283180515
SDF4,26.1932839217642,30.4815489249201,40.7677094181716,3.68267619153543,40.0597368819651,104.886616561993,51.0621225698153
B3GALT6,1.7724778593675,2.8300084108243,1.55613421529808,0.203565015612511,1.42077709835805,2.84593490115139,2.34545408453995
FAM132A,1.46151683140829,3.55716334971666,3.2926897888916,0.0462647762755708,2.17749533552701,4.49783402358626,1.92221424973575
RP5-902P8.12,0,0,0,0,0,0,0
UBE2J2,28.909010232608,30.9139113210182,22.5977751265026,1.9616265140842,9.09606207535752,19.8227894692185,11.6920004364661
RP5-902P8.10,2.52914969406825,2.5352158680301,1.4358533097678,0.0555177315306849,0.594564329204184,1.2209689165823,0.520232296946832
SCNN1D,0.746306467102106,0.452015232284437,0.398430499569075,0.0832765972960274,0.138989063969809,0.484796481584148,0.0793574690257879
ACAP3,10.9665589193615,20.5568666508488,12.569354627915,0.555177315306849,4.54030942301377,12.2186668784449,5.81954772855778
MIR6726,0,0,0,0,0,0,0
PUSL1,1.10909433305452,1.27743435210819,1.78166091316737,0.148047284081826,1.17368542907839,2.72024692444439,1.92221424973575
CPSF3L,30.8473339735537,27.0816082646937,27.0707213009102,1.10110167535858,4.24688806574417,7.81060998107794,3.32419620252467
MIR6727,0,0,0,0,0,0,0
RP5-890O3.9,0.0725575731904825,0.196528361862799,0.0451053395738575,0.0185059105102283,0,0,0.00881749655842087
CPTP,3.08887954439483,2.02424212718683,4.71350798546811,0.564430270561963,3.91485863514963,5.75471379065628,3.74743603732887
