,TWDN-WUR-117-A1,TWDN-WUR-117-A2,TWDN-WUR-120-A1,TWDN-WUR-120-A2,TWDN-WUR-120-A3,TWDN-WUR-124-A1,TWDN-WUR-124-A2
CHAMP1,11.2409203222491,10.759861412985,11.5439385664572,9.82503254542031,12.702570718034,27.9832660069279,6.36098410718165
CHAT,0,0,33.5323929787567,7.09585683835911,9.87977722513754,1.99880471478056,0.0669577274440173
CHCHD1,4.91790264098397,14.34648188398,7.69595904430481,25.6542516463752,9.87977722513754,5.99641414434168,2.47743591542864
CHCHD10,287.346025737492,28.69296376796,36.8306611406016,71.5044035250033,60.6900600972735,83.9497980207836,26.1804714306108
CHCHD2,102.573397940523,53.799307064925,24.1872998535294,128.817093373288,73.3926308153074,97.9414310242475,22.4977964211898
CHCHD3,459.472618171931,430.3944565194,466.155233540749,352.063666210894,395.191089005502,241.855370488448,308.407292607144
CHCHD4,5.62046016112454,3.586620470995,5.77196928322861,7.09585683835911,2.82279349289644,5.99641414434168,2.54439364287266
CHCHD5,17.5639380035142,7.17324094199,9.89480448553476,23.4709110807263,22.5823479431715,17.9892424330251,7.90101183839404
CHCHD6,57.6097166515266,7.17324094199,91.5269414911965,62.2252061209953,70.569837322411,17.9892424330251,29.5283578028116
CHCHD7,11.9434778423897,10.759861412985,2.74855680153743,10.3708676868325,5.64558698579288,15.9904377182445,9.84278593427054
CHD1,134.188486346848,312.035980976565,142.650097999793,128.271258231876,142.55107139127,259.844612921473,230.870244226972
CHD1L,2.81023008056227,17.933102354975,17.0410521695321,31.6584382019099,22.5823479431715,23.9856565773667,8.5036313853902
CHD2,222.71073388456,297.689499092585,196.521811309926,190.496464352871,173.601799813131,267.839831780595,241.449565163126
CHD3,13.3485928826708,39.452825180945,9.89480448553476,14.7375488181305,21.1709511967233,5.99641414434168,12.7219682143633
CHD4,184.772627796969,175.744403078755,158.866583128864,176.304750676153,189.127164024061,125.924697031175,45.3303814795997
CHD5,0.702557520140568,0,0.274855680153743,0.545835141412239,0,0,0.401746364664104
CHD6,306.315078781288,236.71695108567,375.452859090013,343.330303948298,375.431534555227,177.89361961547,233.481595597288
CHD7,145.429406669098,319.209221918555,93.176075572119,107.529522858211,118.55732670165,117.929478172053,189.222537756793
CHD8,79.3889997758842,71.7324094199,63.7665177956684,50.7626681513383,81.8610112939968,77.9533838764419,70.1047406338861
CHD9,467.200750893478,365.83528804149,609.904754261156,469.964056755938,683.116025280939,815.512323630469,567.265866905715
CHDH,50.5841414501209,7.17324094199,23.6375884932219,32.2042733433221,19.7595544502751,41.9748990103918,38.2998200979779
CHEK1,3.51278760070284,64.55916847791,25.2867225741444,11.462537969657,12.702570718034,0,7.43230774628592
CHEK2,16.8613804833736,21.51972282597,14.5673510481484,19.1042299494284,23.9937446896197,3.99760942956112,17.6768400452206
CHERP,14.0511504028114,0,5.77196928322861,2.18334056564896,2.82279349289644,1.99880471478056,6.89664592673378
CHFR,53.3943715306832,32.279584238955,111.041694782112,87.8794577673705,84.6838047868932,25.9844612921473,48.8121833066886
CHGA,0,0,0.549711360307487,0.545835141412239,1.41139674644822,0,0
CHGB,0,0,0.274855680153743,0,0,0,0
CHI3L1,4.21534512084341,0,3.29826816184492,12.5542082524815,5.64558698579288,0,9.57495502449448
CHI3L2,2.81023008056227,3.586620470995,6.04682496338235,34.3876139089711,22.5823479431715,0,1.80785864098847
CHIA,0,0,0,0.545835141412239,1.41139674644822,0,0.200873182332052
CHIC1,126.460353625302,71.7324094199,86.3046835682754,78.0544252219502,57.867266604377,57.9653367286363,106.66365981832
CHIC2,0.702557520140568,3.586620470995,0.274855680153743,0,0,1.99880471478056,0.669577274440173
CHID1,30.912530886185,3.586620470995,52.2225792292112,66.5918872522932,53.6330763650324,29.9820707217084,13.9941650357996
CHIT1,0,7.17324094199,6.04682496338235,9.82503254542031,5.64558698579288,0,0.73653500188419
CHKA,51.2866989702614,82.492270832885,128.082746951644,87.3336226259583,149.608055123511,65.9605555877585,83.6302015775776
CHKB,14.0511504028114,0,16.7661964893783,9.27919740400807,7.0569837322411,13.9916330034639,23.9708664249582
CHL1,46.3687963292775,3.586620470995,4.94740224276738,4.36668113129791,2.82279349289644,1.99880471478056,2.67830909776069
CHM,154.562654430925,150.63805978179,120.936499267647,109.167028282448,155.253642109304,173.896010185909,162.439446779186
CHML,0,0,0,0,0,0,0
CHMP1A,35.1278760070284,0,30.7838361772192,34.9334490503833,50.8102828721359,47.9713131547335,25.8456827933907
CHMP1B,0,0,0,0,0,0,0
CHMP2A,44.9636812889963,21.51972282597,25.0118668939906,47.4876573028648,47.9874893792395,33.9796801512695,4.88791410341326
CHMP2B,30.2099733660444,64.55916847791,33.8072486589104,43.1209761715669,36.6963154076537,29.9820707217084,15.534192767012
CHMP3,14.7537079229519,28.69296376796,14.5673510481484,32.7501084847344,19.7595544502751,15.9904377182445,6.89664592673378
CHMP4A,0.702557520140568,0,0.549711360307487,0,0,0,1.33915454888035
CHMP4B,63.2301768126511,82.492270832885,70.9127654796658,94.4294794643174,105.854755983617,89.9462121651253,47.2051978480322
CHMP4C,6.32301768126511,7.17324094199,5.77196928322861,4.91251627271015,7.0569837322411,23.9856565773667,9.03929320494234
CHMP5,49.1790264098397,17.933102354975,15.3919180886096,34.9334490503833,25.405141436068,29.9820707217084,18.0785864098847
CHMP6,11.9434778423897,0,5.77196928322861,8.73336226259583,9.87977722513754,5.99641414434168,6.36098410718165
CHMP7,22.4818406444982,28.69296376796,12.9182169672259,16.3750542423672,14.1139674644822,17.9892424330251,10.9810673008188
CHN1,30.912530886185,46.626066122935,31.6084032176805,58.9501952725218,74.8040275617557,29.9820707217084,14.9985309474599
CHN2,150.347309310081,64.55916847791,1752.75467234042,604.785336684761,1318.24456118264,35.9784848660501,85.7728488557862
CHODL,7.72813272154624,53.799307064925,13.1930726473797,7.64169197977135,9.87977722513754,3.99760942956112,4.88791410341326
CHORDC1,15.4562654430925,39.452825180945,18.9650419306083,15.2833839595427,15.5253642109304,17.9892424330251,19.5516564136531
CHP1,18.9690530437953,32.279584238955,30.5089804970655,34.3876139089711,46.5760926327913,25.9844612921473,21.4934305095296
CHP2,0,0,0,0,0,0,0
CHPF,12.6460353625302,3.586620470995,19.5147532909158,66.046052110881,53.6330763650324,39.9760942956112,2.34352046054061
